,C,WIPRO,LT,JPASS,SBI
C,1.0,0.9028723725232481,0.7270514659818165,-0.8553649513704996,0.8091530322443683
WIPRO,0.9028723725232481,1.0,0.7787239685682235,-0.6894131361674011,0.7565987105050317
LT,0.7270514659818165,0.7787239685682235,1.0,-0.447153251179146,0.8287942104638907
JPASS,-0.8553649513704996,-0.6894131361674011,-0.447153251179146,1.0,-0.6345435371843317
SBI,0.8091530322443683,0.7565987105050317,0.8287942104638907,-0.6345435371843317,1.0
