Date,Open,High,Low,Close,Volume,Adj Close
2015-02-09,2561.5,2569.1,2500.0,2512.9,1038200,2479.007
2015-02-10,2510.0,2526.25,2433.0,2441.15,1899500,2408.224
2015-02-11,2455.05,2487.25,2447.25,2459.9,1468700,2426.721
2015-02-12,2479.8,2479.8,2447.0,2462.15,1553900,2428.9410000000003
2015-02-13,2470.0,2547.75,2460.25,2538.75,2079100,2504.508
2015-02-16,2560.0,2595.0,2555.0,2584.8,1182100,2549.937
2015-02-17,2584.8,2584.8,2584.8,2584.8,0,2549.937
2015-02-18,2585.05,2643.0,2565.25,2635.65,1330000,2600.101
2015-02-19,2636.0,2687.3,2635.0,2681.05,1309000,2644.889
2015-02-20,2698.8,2698.8,2642.25,2675.55,900700,2639.4629999999997
2015-02-23,2671.0,2722.0,2671.0,2696.65,807400,2660.278
2015-02-24,2694.0,2730.0,2679.0,2704.75,1099900,2668.2690000000002
2015-02-25,2710.0,2722.0,2667.85,2672.2,883900,2636.158
2015-02-26,2679.0,2692.75,2625.35,2656.45,995900,2620.62
2015-02-27,2659.45,2675.75,2616.3,2662.35,1438600,2626.441
2015-03-02,2679.7,2708.95,2652.55,2669.4,1088000,2633.3959999999997
2015-03-03,2682.0,2790.0,2676.15,2776.0,1712100,2738.558
2015-03-04,2788.0,2812.1,2715.65,2746.0,1931400,2708.9629999999997
2015-03-05,2750.0,2770.7,2681.05,2696.45,1086700,2660.0809999999997
2015-03-06,2696.45,2696.45,2696.45,2696.45,0,2660.0809999999997
2015-03-09,2640.0,2679.8,2610.0,2646.8,1441500,2611.101
2015-03-10,2648.9,2678.25,2595.25,2642.7,1518500,2607.056
2015-03-11,2642.0,2659.95,2597.8,2606.55,1120100,2571.394
2015-03-12,2623.9,2624.9,2590.1,2619.05,913800,2583.725
2015-03-13,2638.0,2639.95,2575.0,2582.35,793400,2547.52
2015-03-16,2585.2,2610.0,2552.0,2562.3,778100,2527.74
2015-03-17,2582.5,2606.7,2557.75,2583.7,633600,2548.8520000000003
2015-03-18,2590.95,2599.45,2551.7,2559.35,627500,2524.83
2015-03-19,2576.0,2605.85,2568.1,2596.25,1224400,2561.232
2015-03-20,2596.0,2618.0,2578.85,2610.95,981900,2575.734
2015-03-23,2616.0,2631.0,2606.0,2617.15,783300,2581.85
2015-03-24,2630.0,2637.0,2582.1,2591.3,1197400,2556.349
2015-03-25,2591.4,2614.0,2545.2,2573.75,1112400,2539.036
2015-03-26,2553.3,2586.7,2501.0,2513.1,1545800,2479.2039999999997
2015-03-27,2531.0,2571.9,2504.1,2514.8,1375800,2480.881
2015-03-30,2525.0,2569.9,2520.0,2564.15,669500,2529.565
2015-03-31,2569.45,2569.45,2521.0,2553.95,1213500,2519.5029999999997
2015-04-01,2558.0,2563.6,2522.25,2542.65,1037800,2508.355
2015-04-02,2542.65,2542.65,2542.65,2542.65,0,2508.355
2015-04-03,2542.65,2542.65,2542.65,2542.65,0,2508.355
2015-04-06,2558.0,2562.9,2500.1,2547.3,784200,2512.9429999999998
2015-04-07,2562.45,2599.0,2544.0,2585.0,943400,2550.134
2015-04-08,2594.0,2656.5,2590.85,2641.4,826000,2605.7729999999997
2015-04-09,2659.0,2687.45,2635.15,2664.55,1272200,2628.611
2015-04-10,2648.5,2670.8,2628.0,2653.75,907700,2617.9570000000003
2015-04-13,2664.0,2665.0,2628.0,2655.5,654300,2619.683
2015-04-14,2655.5,2655.5,2655.5,2655.5,0,2619.683
2015-04-15,2654.7,2713.9,2609.4,2627.75,1456900,2592.308
2015-04-16,2626.95,2627.0,2571.35,2582.8,1608700,2547.964
2015-04-17,2557.1,2560.0,2470.0,2474.85,4834300,2441.47
2015-04-20,2480.05,2483.9,2424.85,2428.8,1445300,2396.041
2015-04-21,2428.8,2452.0,2401.0,2427.05,1273000,2394.315
2015-04-22,2431.5,2473.0,2407.55,2445.1,2093400,2412.121
2015-04-23,2472.0,2479.8,2431.7,2457.25,2171400,2424.107
2015-04-24,2455.3,2514.0,2447.55,2493.05,1812500,2459.424
2015-04-27,2499.5,2520.0,2486.0,2500.2,1366500,2466.478
2015-04-28,2510.0,2510.0,2455.1,2495.0,1544100,2461.348
2015-04-29,2484.0,2495.0,2451.05,2487.3,1009800,2453.752
2015-04-30,2480.0,2490.0,2427.1,2463.7,1869000,2430.47
2015-05-01,2463.7,2463.7,2463.7,2463.7,0,2430.47
2015-05-04,2491.0,2504.8,2457.2,2481.55,945300,2448.08
2015-05-05,2501.0,2536.45,2500.0,2517.85,1627500,2483.89
2015-05-06,2515.0,2515.0,2455.8,2463.05,1697200,2429.8289999999997
2015-05-07,2464.9,2553.75,2453.7,2545.25,1602500,2510.92
2015-05-08,2560.0,2588.0,2516.3,2527.25,1501800,2493.163
2015-05-11,2535.0,2563.05,2525.0,2556.0,1286500,2521.525
2015-05-12,2560.0,2565.0,2513.0,2522.9,1233600,2488.8720000000003
2015-05-13,2547.0,2547.0,2480.45,2515.4,931800,2481.473
2015-05-14,2520.0,2520.0,2485.0,2499.25,654500,2465.541
2015-05-15,2515.0,2532.4,2501.0,2511.15,730700,2477.28
2015-05-18,2514.1,2525.25,2497.1,2520.4,2253800,2486.405
2015-05-19,2519.4,2530.0,2496.75,2512.7,978800,2478.8089999999997
2015-05-20,2520.0,2569.9,2516.9,2557.05,948900,2522.561
2015-05-21,2557.0,2580.0,2548.15,2555.5,789700,2521.032
2015-05-22,2550.0,2628.75,2539.25,2617.9,1345800,2582.59
2015-05-25,2620.0,2636.9,2585.7,2601.0,491400,2565.9179999999997
2015-05-26,2605.0,2623.25,2588.9,2608.85,980800,2573.663
2015-05-27,2608.0,2633.15,2592.0,2615.25,810300,2579.976
2015-05-28,2603.9,2623.0,2582.25,2609.5,1381800,2574.304
2015-05-29,2617.0,2648.6,2597.25,2610.3,2211700,2575.093
2015-06-01,2609.45,2647.1,2608.35,2617.75,441100,2582.442
2015-06-02,2616.0,2630.0,2590.5,2599.9,1967900,2564.833
2015-06-03,2604.0,2625.6,2590.5,2610.9,902300,2575.685
2015-06-04,2617.1,2622.8,2588.5,2605.65,2065700,2570.506
2015-06-05,2592.0,2609.0,2570.0,2575.85,1154200,2564.731
2015-06-08,2590.0,2590.0,2561.65,2577.45,785100,2566.324
2015-06-09,2585.0,2590.0,2551.0,2561.65,1289400,2550.592
2015-06-10,2566.0,2610.0,2563.8,2600.75,1381600,2589.5229999999997
2015-06-11,2605.5,2613.0,2556.75,2571.3,923600,2560.2
2015-06-12,2571.9,2588.95,2476.8,2505.8,1285700,2494.9829999999997
2015-06-15,2505.3,2520.45,2481.0,2504.8,1262500,2493.987
2015-06-16,2500.0,2519.3,2494.45,2512.0,633600,2501.156
2015-06-17,2521.0,2529.15,2501.8,2513.8,987800,2502.948
2015-06-18,2515.0,2546.3,2508.0,2530.05,1082500,2519.1279999999997
2015-06-19,2535.0,2555.0,2527.1,2549.55,999800,2538.544
2015-06-22,2547.0,2600.0,2547.0,2591.5,551000,2580.313
2015-06-23,2600.0,2608.0,2567.2,2574.6,449100,2563.486
2015-06-24,2580.0,2587.9,2558.85,2570.3,585100,2559.205
2015-06-25,2562.0,2573.0,2544.15,2550.0,965400,2538.992
2015-06-26,2550.2,2596.35,2550.2,2592.8,645000,2581.607
2015-06-29,2572.0,2604.0,2543.4,2592.9,686300,2581.7070000000003
2015-06-30,2585.0,2588.75,2540.0,2550.95,774900,2539.938
2015-07-01,2563.9,2608.0,2556.75,2593.1,639800,2581.906
2015-07-02,2600.0,2602.95,2571.05,2577.75,722900,2566.6220000000003
2015-07-03,2573.05,2610.0,2570.0,2603.9,481700,2592.659
2015-07-06,2580.3,2645.0,2580.3,2633.3,591100,2621.933
2015-07-07,2632.75,2646.9,2603.0,2616.25,821400,2604.956
2015-07-08,2597.95,2621.7,2580.5,2595.1,1333900,2583.8979999999997
2015-07-09,2595.0,2598.25,2506.65,2522.5,1967000,2511.611
2015-07-10,2559.0,2559.0,2455.0,2474.35,4131800,2463.669
2015-07-13,2475.4,2518.6,2475.4,2509.55,1140100,2498.717
2015-07-14,2511.0,2515.0,2490.0,2499.5,851600,2488.71
2015-07-15,2501.0,2549.95,2500.0,2545.75,1001800,2534.76
2015-07-16,2543.7,2558.85,2526.6,2540.2,728300,2529.234
2015-07-17,2546.8,2570.1,2543.3,2564.4,535200,2553.33
2015-07-20,2564.0,2583.9,2551.9,2579.15,426800,2573.536
2015-07-21,2576.0,2600.35,2555.1,2561.4,637200,2555.824
2015-07-22,2561.0,2569.0,2521.05,2528.05,660300,2522.547
2015-07-23,2517.5,2537.85,2483.0,2488.6,748300,2483.183
2015-07-24,2497.5,2516.5,2492.1,2505.15,787400,2499.697
2015-07-27,2488.0,2505.0,2481.15,2497.05,1001800,2491.615
2015-07-28,2499.5,2519.0,2492.15,2502.05,945500,2496.604
2015-07-29,2511.0,2515.05,2483.5,2506.75,1206600,2501.294
2015-07-30,2516.05,2516.8,2472.8,2480.65,1385200,2475.25
2015-07-31,2489.9,2519.0,2487.0,2510.75,981800,2505.285
2015-08-03,2503.4,2525.0,2500.9,2509.6,589600,2504.137
2015-08-04,2510.4,2523.0,2486.0,2508.9,1171300,2503.439
2015-08-05,2520.0,2550.0,2511.0,2547.15,494400,2541.606
2015-08-06,2565.0,2583.0,2550.1,2573.3,1105600,2567.699
2015-08-07,2573.0,2573.0,2547.0,2552.05,594200,2546.495
2015-08-10,2572.0,2589.0,2556.6,2572.1,715500,2566.501
2015-08-11,2578.0,2610.0,2542.1,2604.2,1100100,2598.531
2015-08-12,2603.1,2691.4,2602.0,2671.7,1739800,2665.884
2015-08-13,2670.0,2684.0,2556.0,2635.6,703200,2629.863
2015-08-14,2638.0,2719.35,2637.1,2703.2,1146900,2697.316
2015-08-17,2690.1,2696.8,2655.0,2684.75,386800,2678.906
2015-08-18,2706.9,2749.9,2690.0,2740.9,958400,2734.934
2015-08-19,2750.0,2752.85,2721.9,2733.6,845000,2727.65
2015-08-20,2745.0,2745.0,2672.0,2686.85,1174600,2681.002
2015-08-21,2712.0,2729.9,2655.1,2676.15,1768000,2670.325
2015-08-24,2639.0,2645.0,2569.1,2578.65,2346100,2573.0370000000003
2015-08-25,2587.9,2622.0,2535.5,2567.15,1962900,2561.562
2015-08-26,2558.05,2639.0,2511.95,2579.8,1607900,2574.185
2015-08-27,2614.9,2614.9,2545.8,2574.65,2632300,2569.0460000000003
2015-08-28,2609.0,2609.0,2557.7,2570.85,1372000,2565.254
2015-08-31,2590.0,2590.0,2531.05,2564.05,1846000,2558.469
2015-09-01,2556.0,2611.2,2530.0,2533.2,1493200,2527.686
2015-09-02,2559.7,2620.45,2548.0,2591.8,1882900,2586.158
2015-09-03,2596.1,2615.0,2576.25,2605.6,1132500,2599.928
2015-09-04,2611.4,2614.9,2539.15,2547.45,1213100,2541.905
2015-09-07,2553.0,2559.95,2532.7,2539.75,879500,2534.222
2015-09-08,2545.0,2564.1,2523.5,2540.3,893800,2534.771
2015-09-09,2562.95,2574.0,2544.0,2549.75,1022500,2544.2
2015-09-10,2542.0,2578.5,2527.0,2545.4,1332900,2539.859
2015-09-11,2546.5,2568.4,2540.6,2552.0,796300,2546.445
2015-09-14,2565.0,2565.0,2543.0,2551.65,794600,2546.096
2015-09-15,2551.65,2558.9,2536.0,2547.6,689900,2542.055
2015-09-16,2555.0,2565.0,2541.05,2550.35,878400,2544.799
2015-09-17,2550.35,2550.35,2550.35,2550.35,0,2544.799
2015-09-18,2565.0,2586.0,2539.0,2551.25,1227600,2545.697
2015-09-21,2550.0,2557.1,2533.2,2551.05,554400,2545.4970000000003
2015-09-22,2557.5,2572.4,2490.0,2522.55,1040300,2517.0589999999997
2015-09-23,2534.3,2557.75,2512.6,2532.65,614100,2527.137
2015-09-24,2535.5,2590.0,2529.9,2580.4,1177100,2574.783
2015-09-25,2580.4,2580.4,2580.4,2580.4,0,2574.783
2015-09-28,2594.0,2619.0,2579.5,2593.7,1183400,2588.054
2015-09-29,2583.35,2634.0,2569.85,2588.25,1662900,2582.616
2015-09-30,2643.7,2643.7,2570.95,2588.05,1684100,2582.417
2015-10-01,2599.0,2649.95,2592.2,2644.6,1417200,2638.844
2015-10-02,2644.6,2644.6,2644.6,2644.6,0,2638.844
2015-10-05,2652.7,2770.0,2652.7,2711.65,2403600,2705.7470000000003
