Date,Open,High,Low,Close,Volume,Adj Close
2011-01-11,1123.0,1135.55,1087.8,1098.5,1884300,1020.07
2011-01-12,1109.9,1151.6,1108.0,1135.95,1580400,1054.847
2011-01-13,1128.95,1155.95,1116.2,1124.25,2794500,1043.982
2011-01-14,1129.9,1150.0,1120.0,1120.15,1575800,1040.175
2011-01-17,1121.2,1146.55,1120.0,1137.4,1500100,1056.193
2011-01-18,1174.0,1208.9,1164.35,1202.55,4240600,1116.692
2011-01-19,1203.45,1209.0,1185.0,1193.0,1476000,1107.823
2011-01-20,1180.0,1218.75,1180.0,1212.2,2272600,1125.653
2011-01-21,1210.0,1220.0,1204.0,1211.65,1298700,1125.142
2011-01-24,1200.0,1220.0,1198.25,1209.2,1008300,1122.867
2011-01-25,1214.8,1219.3,1180.0,1188.55,1233500,1103.691
2011-01-26,1198.0,1198.0,1198.0,1198.0,0,1112.4660000000001
2011-01-27,1187.55,1209.95,1181.6,1199.4,2357000,1115.629
2011-01-28,1195.0,1203.6,1165.25,1181.35,1507200,1098.84
2011-01-31,1169.0,1169.0,1128.55,1159.5,2970400,1078.516
2011-02-01,1165.0,1165.0,1133.0,1150.15,2106300,1069.819
2011-02-02,1170.0,1198.9,1162.35,1182.45,1968800,1099.863
2011-02-03,1184.7,1195.7,1170.65,1183.7,941700,1101.025
2011-02-04,1176.0,1183.1,1140.25,1148.8,1728800,1068.563
2011-02-07,1173.5,1173.5,1126.5,1131.15,1289100,1052.146
2011-02-08,1132.0,1149.9,1118.5,1125.1,2644300,1046.518
2011-02-09,1122.5,1129.6,1083.7,1098.3,3006300,1021.59
2011-02-10,1100.0,1114.5,1072.0,1090.75,2275900,1014.567
2011-02-11,1084.1,1104.2,1055.9,1089.6,1472500,1013.498
2011-02-14,1091.0,1120.0,1087.0,1112.3,1231200,1034.612
2011-02-15,1119.0,1119.0,1076.55,1097.7,1812700,1021.0319999999999
2011-02-16,1105.0,1109.7,1081.0,1096.5,1232200,1019.916
2011-02-17,1105.0,1114.45,1092.4,1109.2,738800,1031.729
2011-02-18,1110.25,1132.4,1082.1,1089.7,2038400,1013.591
2011-02-21,1090.0,1148.0,1058.2,1138.6,2828900,1059.075
2011-02-22,1122.65,1147.7,1120.0,1138.75,1652700,1059.215
2011-02-23,1128.15,1144.95,1123.1,1125.55,939600,1046.937
2011-02-24,1119.0,1138.75,1091.3,1111.8,2689400,1034.147
2011-02-25,1105.3,1117.0,1088.25,1110.05,1535200,1032.52
2011-02-28,1101.2,1148.25,1100.0,1110.25,1614600,1032.705
2011-03-01,1113.0,1132.0,1097.6,1124.5,1583900,1045.96
2011-03-02,1119.85,1119.85,1119.85,1119.85,0,1041.635
2011-03-03,1119.9,1155.0,1107.0,1150.2,1726300,1069.865
2011-03-04,1163.35,1163.35,1132.5,1135.55,1030500,1056.238
2011-03-07,1124.0,1125.0,1094.45,1108.25,2092200,1030.845
2011-03-08,1105.15,1128.8,1105.15,1117.7,1973900,1039.635
2011-03-09,1122.55,1138.0,1118.5,1126.7,1212200,1048.007
2011-03-10,1122.0,1122.0,1100.0,1108.55,935600,1031.124
2011-03-11,1100.0,1102.4,1063.3,1077.05,2506400,1001.824
2011-03-14,1071.0,1102.0,1058.4,1097.55,1624300,1020.893
2011-03-15,1075.0,1095.45,1065.65,1089.8,1705900,1013.684
2011-03-16,1092.0,1123.45,1091.15,1114.85,1338900,1036.984
2011-03-17,1105.0,1118.9,1092.65,1098.0,1028000,1021.311
2011-03-18,1093.5,1109.0,1076.1,1082.75,1105600,1007.1260000000001
2011-03-21,1091.5,1091.5,1066.5,1070.8,1309500,996.0110000000001
